Timestamp,Temperature,Humidity,SoilMoisture,LightIntensity,PumpingStatus
2,24,83,61,0,0
6,24,83,61,0,0
11,24,83,61,0,0
16,24,83,61,0,0
21,24,83,61,0,0
26,24,83,61,0,0
31,24,83,61,0,0
36,24,83,61,0,0
41,24,83,61,0,0
46,24,83,61,0,0
51,24,83,61,0,0
56,24,83,61,0,0
61,24,83,61,0,0
66,24,83,61,0,0
71,24,83,61,0,0
76,24,83,61,0,0
81,24,83,61,0,0
86,24,83,61,0,0
91,24,83,61,0,0
96,24,83,61,0,0
101,24,83,61,0,0
106,24,83,61,0,0
111,24,83,61,0,0
116,24,83,61,0,0
121,24,83,61,0,0
126,24,83,61,0,0
131,24,83,61,0,0
136,24,83,61,0,0
141,24,83,61,0,0
146,24,83,61,0,0
151,24,83,61,0,0
156,24,83,61,0,0
161,24,83,61,0,0
166,24,83,61,0,0
171,24,83,61,0,0
176,24,83,61,0,0
181,24,83,61,0,0
186,24,83,61,0,0
191,24,83,61,0,0
196,24,83,61,0,0
202,24,83,61,0,0
206,24,83,61,0,0
211,24,83,61,0,0
216,24,83,61,0,0
221,24,83,61,0,0
226,24,83,61,0,0
231,24,83,61,0,0
236,24,83,61,0,0
241,24,83,61,0,0
246,24,83,61,0,0
251,25,82,61,0,0
256,24,83,61,0,0
261,24,83,61,0,0
266,24,83,61,0,0
271,24,83,61,0,0
276,24,83,61,0,0
281,24,83,61,0,0
286,24,83,61,0,0
291,24,83,61,0,0
296,24,83,61,0,0
301,24,83,61,0,0
306,24,83,61,0,0
311,24,83,61,0,0
316,24,83,61,0,0
321,24,83,61,0,0
326,24,83,61,0,0
331,24,83,61,0,0
337,24,83,61,0,0
341,24,83,61,0,0
346,24,83,61,0,0
352,24,83,61,0,0
356,24,83,61,0,0
361,24,83,61,0,0
366,24,83,61,0,0
371,24,83,61,0,0
376,24,83,61,0,0
381,24,83,61,0,0
386,24,83,61,0,0
391,24,83,61,0,0
396,24,83,61,0,0
401,24,83,61,0,0
406,24,83,61,0,0
411,24,83,61,0,0
416,24,83,61,0,0
421,24,83,61,0,0
426,24,83,61,0,0
431,24,83,61,0,0
437,24,83,61,0,0
441,24,83,61,0,0
446,24,83,61,0,0
451,24,83,61,0,0
457,24,83,61,0,0
461,24,83,61,0,0
466,24,83,61,0,0
471,24,83,61,0,0
476,24,83,61,0,0
481,24,83,61,0,0
486,24,83,61,0,0
491,24,83,61,0,0
496,24,83,61,0,0
501,24,83,61,0,0
507,24,83,61,0,0
511,24,83,61,0,0
516,24,83,61,0,0
521,24,83,61,0,0
526,24,83,61,0,0
531,24,83,61,0,0
536,24,83,61,0,0
541,24,83,61,0,0
546,24,83,61,0,0
551,24,83,61,0,0
556,24,83,61,0,0
561,24,83,61,0,0
566,24,83,61,0,0
571,24,83,61,0,0
576,24,83,61,0,0
581,24,83,61,0,0
587,24,83,61,0,0
591,24,83,61,0,0
596,24,83,61,0,0
601,24,83,61,0,0
606,24,83,61,0,0
611,24,83,61,0,0
616,24,83,61,0,0
621,24,83,61,0,0
626,24,83,61,0,0
631,24,83,61,0,0
636,25,82,61,0,0
641,24,83,61,0,0
646,24,83,61,0,0
651,24,83,61,0,0
656,24,83,61,0,0
661,24,83,61,0,0
666,24,83,61,0,0
671,24,83,61,0,0
676,24,83,61,0,0
681,24,83,61,0,0
686,24,83,61,0,0
691,24,83,61,0,0
696,24,83,61,0,0
701,24,83,61,0,0
706,24,83,61,0,0
712,24,83,61,0,0
716,24,83,61,0,0
721,24,83,61,0,0
726,24,83,61,0,0
731,24,83,61,0,0
736,24,83,61,0,0
741,24,83,61,0,0
746,24,83,61,0,0
789,24,83,61,0,0
789,24,83,61,0,0
789,24,83,61,0,0
789,24,83,61,0,0
789,24,83,61,0,0
790,24,83,61,0,0
790,24,83,61,0,0
790,24,83,61,0,0
791,24,83,61,0,0
796,24,83,61,0,0
801,24,83,61,0,0
806,24,83,61,0,0
811,24,83,61,0,0
816,24,83,61,0,0
821,24,83,61,0,0
826,24,83,61,0,0
831,24,83,61,0,0
836,24,83,61,0,0
841,24,83,61,0,0
846,24,83,61,0,0
851,24,83,61,0,0
856,24,84,61,0,0
861,24,84,61,0,0
866,24,84,61,0,0
871,24,84,61,0,0
877,24,84,61,0,0
881,24,84,61,0,0
887,24,84,61,0,0
891,25,83,61,0,0
897,24,84,61,0,0
901,24,84,61,0,0
906,24,84,61,0,0
911,24,84,61,0,0
916,24,84,61,0,0
921,24,84,61,0,0
926,24,84,61,0,0
932,24,84,61,0,0
936,24,84,61,0,0
941,24,84,61,0,0
946,24,84,61,0,0
951,24,84,61,0,0
956,25,83,61,0,0
962,24,84,61,0,0
966,24,84,61,0,0
972,24,84,61,0,0
977,24,84,61,0,0
981,24,84,61,0,0
986,24,84,61,0,0
992,24,84,61,0,0
996,24,84,61,0,0
1001,24,84,61,0,0
1006,24,84,61,0,0
1011,24,84,61,0,0
1016,24,84,61,0,0
1021,24,84,61,0,0
1027,24,84,61,0,0
1031,24,83,61,0,0
1037,24,84,61,0,0
1042,24,84,61,0,0
1046,24,84,61,0,0
1051,24,84,61,0,0
1057,24,84,61,0,0
1061,24,84,61,0,0
1066,24,84,61,0,0
1072,24,84,61,0,0
1076,24,84,61,0,0
1082,24,84,61,0,0
1087,24,84,61,0,0
1091,24,84,61,0,0
